"Name","Qty","Price","Vendor","Link"
"THT 1N4148 Diodes","54","$0.00","HackClub","N/A"
"KBDiy Toy","54","$24.45","AliExpress","https://www.aliexpress.us/item/3256807300360436.html"
"JWK Linear Switches","54","$14.4","typeractive","https://typeractive.xyz/products/jwk-jwick-linear-switches?variant=45434593968359"
"Kalih MX hotswap sockets","54","$13.45","AliExpress","https://www.aliexpress.us/item/3256808768257055.html"
"4P4C jack","2","$1.87","AliExpress","https://www.aliexpress.us/item/3256807699240291.html"
"JST connector","2","$0.73","AliExpress","https://www.aliexpress.us/item/3256808844534562.html"
"0.91" Oled display","2","$1.96","AliExpress","https://www.aliexpress.us/item/3256805114690528.html"
"3.7v Lithium battery","2","$8.00","typeractive","https://typeractive.xyz/products/lithium-battery-110mah?variant=43294731665639"
"JST connector","2","$1.00","typeractive","https://typeractive.xyz/products/battery-jack?variant=45597492707559"
"SMD side button","2","$1.50","typeractive","https://typeractive.xyz/products/reset-button"
"SPDT Switch","2","$1.50","typeractive","https://typeractive.xyz/products/power-switch?variant=45597854171367"
"M2 screws","24","$2.44","AliExpress","https://www.aliexpress.us/item/2255799870438450.html"
"M2 standoffs","12","$5.40","AliExpress","https://www.aliexpress.us/item/3256806016664762.html"
"Seeed XIAO ESP32-S3 Plus (already own)","2","$13.80","seeedstudio","https://www.seeedstudio.com/Seeed-Studio-XIAO-ESP32S3-Plus-p-6361.html"
"PCB","1 (5)","$36.92","jlcpcb","See jlcpcb pic in Files"
"Total:  $121.93","","","",""